year_month,postal_code,customer_class,total_gallons
201512,78750,Irrigation - Multi-Family,531200
201409,78722,Multi-Family,3130100
201503,78728,Irrigation - Residential,4400
201609,78660,Irrigation - Residential,18900
201404,78758,Irrigation - Residential,14100
201610,78653,Irrigation - Residential,0
201606,78730,Multi-Family,5833100
201609,78758,Multi-Family,53079200
201807,78727,Multi-Family,24119900
201512,78721,Multi-Family,4997900
201610,78617,Irrigation - Multi-Family,3700
201407,78730,Irrigation - Residential,143500
201209,78652,Residential,946300
201412,78754,Irrigation - Multi-Family,965600
201203,78729,Multi-Family,21927100
201209,78728,Multi-Family,8148400
201604,78729,Irrigation - Residential,5000
201302,78759,Multi-Family,33012800
201301,78753,Irrigation - Residential,4100
201703,78753,Irrigation - Multi-Family,2919300
201712,78750,Irrigation - Multi-Family,860900
201612,78617,Irrigation - Multi-Family,5200
201208,78750,Irrigation - Multi-Family,2527000
201412,78746,Irrigation - Multi-Family,311500
201803,78724,Irrigation - Multi-Family,360200
201608,78705,Irrigation - Multi-Family,1123700
201806,78748,Multi-Family,23817400
201205,78721,Multi-Family,4452300
201305,78717,Irrigation - Residential,22800
201706,78744,Multi-Family,31096400
201511,78731,Irrigation - Multi-Family,901100
201204,78750,Multi-Family,10599600
201308,78756,Irrigation - Residential,100000
201504,78746,Irrigation - Residential,237300
201603,78725,Residential,2636500
201406,78721,Irrigation - Multi-Family,21600
201212,78702,Irrigation - Multi-Family,820700
201401,78702,Irrigation - Residential,8700
201405,78735,Irrigation - Multi-Family,2059700
201602,78726,Irrigation - Residential,37200
201209,78704,Irrigation - Residential,340100
201310,78748,Irrigation - Multi-Family,7145100
201502,78703,Residential,31549300
201511,78617,Residential,19755400
201605,78727,Multi-Family,20826400
201808,78703,Irrigation - Residential,2144400
201705,78727,Residential,38454600
201601,78742,Multi-Family,375200
201704,78724,Irrigation - Multi-Family,166600
201202,78745,Residential,63890200
201701,78727,Irrigation - Residential,11500
201310,78729,Irrigation - Multi-Family,3258900
201504,78750,Irrigation - Residential,28800
201209,78753,Irrigation - Residential,10400
201502,78613,Irrigation - Multi-Family,228900
201705,78722,Residential,8726000
201806,78705,Multi-Family,33829200
201210,78652,Irrigation - Residential,40600
201608,78717,Irrigation - Multi-Family,10463400
201410,78722,Multi-Family,2555900
201610,78717,Irrigation - Residential,47100
201209,78725,Residential,2883900
201211,78736,Irrigation - Residential,4500
201403,78717,Multi-Family,8177200
201405,78759,Irrigation - Residential,107900
201612,78722,Irrigation - Multi-Family,67400
201612,78702,Multi-Family,11870600
201803,78746,Multi-Family,9317600
201702,78728,Irrigation - Residential,3100
201201,78723,Irrigation - Multi-Family,180700
201611,78757,Irrigation - Residential,33500
201307,78717,Residential,53166300
201205,78728,Irrigation - Multi-Family,1627700
201503,78719,Residential,1286600
201607,78652,Multi-Family,25700
201704,78724,Multi-Family,9647100
201605,78701,Multi-Family,14912400
201312,78701,Residential,780100
201210,78731,Irrigation - Residential,446700
201603,78747,Irrigation - Multi-Family,218300
201602,78722,Residential,7004100
201309,78749,Irrigation - Residential,27900
201404,78730,Irrigation - Residential,64900
201309,78736,Multi-Family,2394100
201607,78701,Residential,1233800
201311,78736,Multi-Family,2296100
201410,78735,Irrigation - Multi-Family,2935900
201405,78721,Irrigation - Residential,8300
201704,78726,Irrigation - Residential,10200
201603,78759,Residential,51385700
201509,78742,Residential,904100
201310,78745,Multi-Family,33491300
201604,78747,Irrigation - Residential,9000
201206,78745,Irrigation - Residential,88100
201511,78727,Irrigation - Multi-Family,4855700
201701,78728,Multi-Family,7183900
201308,78705,Irrigation - Residential,146200
201806,78726,Irrigation - Residential,64000
201405,78717,Irrigation - Residential,22700
201511,78652,Irrigation - Residential,74000
201802,78719,Multi-Family,357000
201409,78753,Residential,48429500
201501,78724,Multi-Family,13847100
201403,78724,Multi-Family,12163400
201511,78746,Irrigation - Multi-Family,716200
201308,78759,Residential,107685000
201303,78721,Irrigation - Residential,6500
201408,78731,Irrigation - Residential,747100
201411,78722,Irrigation - Multi-Family,500600
201407,78749,Multi-Family,17331800
201406,78660,Irrigation - Multi-Family,1155100
201710,78757,Irrigation - Multi-Family,666700
201710,78749,Residential,59436000
201406,78724,Irrigation - Multi-Family,378400
201406,78757,Multi-Family,15273700
201710,78701,Irrigation - Residential,26100
201611,78704,Residential,44705000
201202,78729,Multi-Family,20504100
201803,78752,Irrigation - Multi-Family,38600
201407,78652,Residential,781000
201511,78737,Irrigation - Residential,8700
201211,78702,Irrigation - Multi-Family,1075800
201504,78722,Irrigation - Residential,0
201506,78758,Multi-Family,48480200
201312,78735,Irrigation - Multi-Family,740700
201506,78732,Residential,5700
201205,78759,Irrigation - Residential,107100
201206,78723,Irrigation - Multi-Family,150300
201309,78727,Irrigation - Multi-Family,8534700
201503,78739,Irrigation - Multi-Family,35100
201410,78660,Irrigation - Multi-Family,402700
201402,78702,Irrigation - Multi-Family,552500
201604,78747,Multi-Family,7077400
201504,78758,Irrigation - Residential,26900
201410,78703,Multi-Family,11719000
201503,78617,Multi-Family,3619300
201511,78722,Irrigation - Residential,200
201407,78613,Irrigation - Multi-Family,1229300
201312,78705,Irrigation - Residential,44200
201703,78717,Irrigation - Residential,15800
201311,78660,Multi-Family,3086200
201504,78739,Irrigation - Multi-Family,100
201306,78736,Irrigation - Residential,20400
201701,78703,Irrigation - Multi-Family,312900
201510,78652,Residential,2251500
201201,78613,Multi-Family,23000
201303,78613,Multi-Family,21000
201501,78753,Irrigation - Residential,2600
201712,78749,Residential,48652800
201608,78653,Multi-Family,440000
201804,78731,Multi-Family,16034900
201302,78653,Residential,908500
201504,78757,Irrigation - Multi-Family,102800
201402,78744,Residential,44718600
201306,78742,Residential,715100
201809,78729,Residential,29230500
201305,78751,Irrigation - Residential,97600
201206,78744,Multi-Family,26737800
201211,78744,Irrigation - Multi-Family,1170000
201301,78719,Residential,1620700
201804,78660,Residential,9680100
201310,78736,Residential,13272100
201802,78736,Irrigation - Multi-Family,379600
201607,78723,Irrigation - Multi-Family,269400
201202,78704,Multi-Family,43075000
201504,78729,Multi-Family,19392700
201311,78727,Multi-Family,19810100
201703,78735,Irrigation - Multi-Family,944100
201207,78717,Irrigation - Multi-Family,6114900
201307,78750,Irrigation - Multi-Family,2282000
201703,78744,Irrigation - Residential,36200
201509,78747,Irrigation - Residential,8200
201409,78741,Irrigation - Multi-Family,3539300
201701,78753,Irrigation - Residential,1600
201602,78746,Irrigation - Residential,294200
201503,78725,Residential,2365900
201806,78724,Irrigation - Multi-Family,4380600
201603,78729,Irrigation - Residential,1600
201511,78736,Residential,11669000
201312,78757,Irrigation - Residential,23700
201306,78731,Residential,74100900
201306,78723,Multi-Family,22471900
201508,78721,Irrigation - Residential,19300
201506,78749,Irrigation - Multi-Family,2885500
201508,78756,Multi-Family,5567000
201612,78747,Irrigation - Multi-Family,624600
201408,78721,Residential,16341400
201303,78741,Irrigation - Multi-Family,1569200
201512,78729,Irrigation - Multi-Family,2414700
201603,78747,Irrigation - Residential,6200
201704,78739,Residential,34230700
201205,78752,Multi-Family,18915300
201510,78712,Residential,0
201802,78756,Irrigation - Residential,28800
201509,78613,Irrigation - Multi-Family,1836200
201512,78724,Irrigation - Multi-Family,249600
201309,78613,Multi-Family,155700
201403,78735,Irrigation - Multi-Family,411900
201505,78739,Irrigation - Multi-Family,100
201211,78739,Residential,53535500
201501,78717,Multi-Family,9685200
201411,78736,Irrigation - Multi-Family,274300
201407,78758,Irrigation - Multi-Family,4208000
201704,78730,Irrigation - Residential,63900
201802,78735,Residential,11877800
201401,78727,Irrigation - Residential,0
201608,78745,Irrigation - Residential,112800
201803,78739,Irrigation - Multi-Family,0
201606,78758,Irrigation - Residential,34200
201306,78730,Irrigation - Residential,125300
201505,78754,Residential,17902500
201510,78652,Multi-Family,9800
201607,78758,Irrigation - Residential,48800
201303,78735,Multi-Family,9404400
201803,78719,Residential,1192400
201404,78725,Multi-Family,168700
201307,78721,Irrigation - Multi-Family,285600
201402,78747,Multi-Family,6649000
201806,78746,Irrigation - Multi-Family,1100800
201205,78660,Irrigation - Residential,14200
201611,78660,Multi-Family,4382000
201311,78754,Irrigation - Residential,9200
201511,78753,Irrigation - Residential,2800
201310,78748,Irrigation - Residential,12200
201211,78756,Irrigation - Multi-Family,127100
201606,78717,Multi-Family,11933300
201304,78741,Irrigation - Residential,9700
201406,78717,Residential,36451700
201304,78742,Multi-Family,284100
201604,78730,Residential,17818900
201406,78617,Irrigation - Residential,2900
201209,78752,Residential,17202700
201501,78751,Irrigation - Residential,19400
201310,78617,Irrigation - Residential,4200
201401,78759,Multi-Family,38038200
201508,78721,Residential,17066900
201308,78722,Irrigation - Multi-Family,279900
201711,78736,Residential,12558600
201402,78731,Irrigation - Residential,226000
201701,78703,Multi-Family,12799200
201205,78751,Irrigation - Residential,122400
201206,78759,Multi-Family,42537500
201709,78752,Multi-Family,18182500
201306,78753,Irrigation - Multi-Family,5050900
201302,78660,Irrigation - Residential,8300
201809,78756,Multi-Family,6263600
201410,78702,Irrigation - Multi-Family,801700
201201,78703,Residential,43184900
201411,78719,Multi-Family,467900
201804,78724,Multi-Family,14139800
201712,78744,Residential,47011600
201803,78723,Multi-Family,20836600
201511,78723,Irrigation - Multi-Family,127800
201304,78617,Irrigation - Residential,3900
201311,78753,Irrigation - Residential,1600
201212,78744,Irrigation - Residential,1600
201602,78617,Irrigation - Residential,5000
201805,78721,Residential,12757800
201803,78652,Residential,2741100
201502,78742,Multi-Family,231600
201208,78704,Irrigation - Multi-Family,3007200
201510,78744,Irrigation - Multi-Family,1640500
201403,78726,Residential,11630000
201612,78717,Residential,25766800
201808,78758,Irrigation - Residential,105800
201302,78750,Irrigation - Residential,0
201501,78748,Irrigation - Multi-Family,2156500
201201,78754,Residential,19552400
201702,78721,Multi-Family,4061100
201809,78727,Residential,48802800
201806,78704,Irrigation - Multi-Family,4246500
201509,78730,Multi-Family,6836400
201409,78726,Irrigation - Residential,50700
201807,78741,Residential,19875900
201703,78724,Irrigation - Multi-Family,388500
201807,78704,Multi-Family,53295700
201511,78722,Multi-Family,2933700
201212,78745,Residential,78441600
201501,78721,Irrigation - Residential,3600
201802,78617,Irrigation - Multi-Family,6500
201209,78731,Irrigation - Residential,836600
201208,78758,Irrigation - Residential,32300
201310,78747,Multi-Family,7275500
201607,78748,Irrigation - Residential,22200
201804,78701,Irrigation - Multi-Family,584300
201207,78749,Irrigation - Residential,18600
201512,78748,Multi-Family,19587000
201804,78748,Multi-Family,21211400
201308,78652,Residential,986600
201409,78717,Irrigation - Residential,39500
201506,78747,Irrigation - Multi-Family,94500
201312,78723,Irrigation - Multi-Family,58400
201704,78742,Multi-Family,219500
201710,78703,Irrigation - Residential,1427600
201212,78741,Multi-Family,83309800
201301,78702,Irrigation - Multi-Family,742700
201208,78728,Irrigation - Multi-Family,1425800
201502,78752,Irrigation - Multi-Family,30500
201703,78723,Irrigation - Multi-Family,202800
201712,78736,Multi-Family,2506800
201604,78753,Multi-Family,53402300
201701,78746,Irrigation - Residential,248100
201507,78738,Residential,11000
201502,78754,Irrigation - Residential,8400
201808,78744,Multi-Family,33465400
201703,78751,Multi-Family,13283600
201512,78724,Multi-Family,13275500
201602,78741,Irrigation - Residential,8800
201304,78721,Residential,15010600
201406,78722,Irrigation - Multi-Family,124500
201512,78727,Irrigation - Multi-Family,2451400
201805,78703,Irrigation - Residential,1048800
201408,78717,Irrigation - Multi-Family,6211500
201308,78739,Irrigation - Residential,0
201508,78701,Irrigation - Residential,43200
201703,78742,Residential,613500
201202,78726,Residential,11338400
201502,78748,Multi-Family,16457300
201507,78744,Multi-Family,27417900
201211,78750,Irrigation - Residential,4900
201502,78729,Irrigation - Multi-Family,1187000
201601,78729,Multi-Family,20829400
201601,78725,Multi-Family,244700
201608,78723,Multi-Family,24345000
201510,78660,Multi-Family,4165000
201606,78703,Irrigation - Residential,710600
201305,78730,Residential,18211500
201211,78742,Residential,754600
201605,78613,Irrigation - Multi-Family,874900
201701,78613,Irrigation - Multi-Family,622900
201411,78750,Multi-Family,13058500
201710,78751,Irrigation - Residential,118400
201204,78749,Residential,63156000
201308,78729,Irrigation - Multi-Family,4574800
201304,78722,Irrigation - Multi-Family,91400
201607,78742,Irrigation - Multi-Family,138000
201711,78744,Irrigation - Multi-Family,2582100
201202,78702,Multi-Family,7901700
201408,78735,Multi-Family,8557400
201709,78746,Multi-Family,14280800
201312,78748,Residential,59471600
201409,78729,Irrigation - Multi-Family,4561300
201407,78703,Irrigation - Multi-Family,565700
201411,78758,Residential,39565600
201405,78652,Irrigation - Residential,20800
201605,78613,Multi-Family,1917100
201204,78723,Irrigation - Multi-Family,129000
201312,78747,Irrigation - Multi-Family,619600
201608,78735,Irrigation - Multi-Family,5362900
201601,78751,Irrigation - Residential,30500
201205,78727,Multi-Family,19635600
201308,78728,Multi-Family,9510600
201208,78724,Irrigation - Residential,56000
201803,78726,Residential,11485700
201208,78746,Irrigation - Residential,619500
201609,78660,Irrigation - Multi-Family,709300
201609,78753,Irrigation - Residential,2000
201512,78742,Residential,676800
201406,78704,Irrigation - Residential,192300
201603,78731,Irrigation - Multi-Family,384300
201806,78723,Irrigation - Residential,20000
201407,78721,Irrigation - Residential,2200
201204,78741,Multi-Family,76021300
201301,78721,Residential,16151700
201602,78748,Irrigation - Residential,20600
201706,78705,Multi-Family,34490400
201306,78737,Irrigation - Residential,11600
201310,78747,Irrigation - Residential,500
201304,78735,Residential,23626700
201711,78752,Residential,10788500
201501,78705,Irrigation - Residential,24500
201601,78750,Irrigation - Multi-Family,408900
201804,78728,Irrigation - Residential,6400
201211,78727,Irrigation - Multi-Family,5062300
201712,78703,Irrigation - Residential,851800
201602,78749,Irrigation - Residential,22700
201703,78717,Multi-Family,12139300
201403,78728,Irrigation - Multi-Family,1422000
201404,78736,Multi-Family,2126800
201504,78721,Irrigation - Multi-Family,20200
201607,78731,Irrigation - Multi-Family,1162800
201212,78735,Irrigation - Multi-Family,2317600
201308,78702,Irrigation - Multi-Family,1216900
201502,78757,Irrigation - Residential,13300
201609,78705,Residential,10943700
201202,78613,Multi-Family,20700
201408,78753,Irrigation - Multi-Family,4920500
201507,78722,Irrigation - Multi-Family,202600
201606,78705,Irrigation - Multi-Family,624300
201503,78752,Irrigation - Multi-Family,29200
201512,78744,Irrigation - Multi-Family,1154600
201607,78701,Irrigation - Residential,34600
201503,78747,Residential,19011400
201409,78749,Residential,105014100
201401,78717,Irrigation - Residential,2900
201601,78745,Irrigation - Residential,33600
201302,78652,Irrigation - Residential,54500
201701,78756,Irrigation - Multi-Family,110300
201212,78730,Multi-Family,4747700
201806,78736,Residential,19294000
201611,78617,Irrigation - Residential,5700
201605,78747,Multi-Family,7046100
201205,78746,Irrigation - Residential,426200
201302,78703,Irrigation - Residential,852600
201307,78730,Residential,21473500
201306,78705,Irrigation - Multi-Family,252300
201703,78702,Multi-Family,11309000
201310,78724,Multi-Family,12441800
201407,78730,Residential,16967500
201206,78741,Irrigation - Residential,27700
201511,78730,Residential,25808700
201607,78727,Multi-Family,23085600
201803,78754,Residential,19187400
201610,78748,Irrigation - Multi-Family,9027000
201505,78758,Multi-Family,46307900
201502,78747,Multi-Family,6375800
201504,78722,Irrigation - Multi-Family,6100
201510,78757,Irrigation - Residential,112700
201802,78738,Residential,8700
201310,78613,Multi-Family,139300
201304,78730,Irrigation - Residential,120400
201209,78617,Multi-Family,3557000
201605,78617,Multi-Family,3950400
201503,78749,Irrigation - Residential,20400
201702,78722,Irrigation - Residential,0
201304,78727,Residential,38979000
201601,78617,Irrigation - Residential,6800
201711,78748,Multi-Family,21895100
201503,78721,Irrigation - Multi-Family,8800
201503,78736,Irrigation - Residential,15800
201309,78717,Irrigation - Residential,54200
201411,78747,Irrigation - Residential,75300
201410,78727,Residential,38746000
201408,78702,Irrigation - Multi-Family,1029600
201405,78758,Multi-Family,42873700
201509,78735,Irrigation - Multi-Family,4445500
201204,78750,Irrigation - Residential,19800
201405,78754,Irrigation - Residential,17100
201411,78759,Irrigation - Multi-Family,1575000
201504,78723,Multi-Family,19323800
201307,78759,Irrigation - Residential,160800
201510,78749,Irrigation - Residential,30500
201504,78705,Irrigation - Residential,24800
201702,78730,Irrigation - Multi-Family,371500
201307,78749,Multi-Family,16753200
201608,78737,Irrigation - Residential,27800
201404,78731,Irrigation - Multi-Family,702800
201509,78736,Irrigation - Multi-Family,992700
201402,78750,Irrigation - Residential,0
201401,78729,Irrigation - Multi-Family,472700
201611,78731,Multi-Family,17100400
201801,78617,Irrigation - Residential,5700
201707,78758,Multi-Family,50478800
201412,78652,Irrigation - Residential,78700
201712,78736,Irrigation - Residential,19600
201207,78721,Irrigation - Residential,20900
201505,78725,Residential,2234600
201510,78653,Multi-Family,148000
201508,78705,Irrigation - Residential,166900
201508,78745,Residential,102472700
201304,78746,Irrigation - Residential,350900
201310,78747,Residential,24950400
201502,78739,Irrigation - Multi-Family,17500
201308,78730,Irrigation - Residential,269100
201609,78748,Irrigation - Multi-Family,9666500
201407,78753,Irrigation - Multi-Family,4648000
201506,78722,Multi-Family,2727500
201205,78729,Multi-Family,22862000
201307,78741,Irrigation - Residential,50600
201510,78703,Multi-Family,14217300
201502,78741,Irrigation - Residential,3600
201601,78660,Multi-Family,4709900
201207,78756,Irrigation - Multi-Family,149500
201401,78722,Multi-Family,2476600
201403,78727,Irrigation - Residential,2200
201207,78717,Irrigation - Residential,31000
201305,78613,Irrigation - Multi-Family,69000
201501,78717,Irrigation - Residential,5900
201507,78703,Irrigation - Residential,1258000
201502,78717,Irrigation - Multi-Family,1312100
201210,78732,Residential,6900
201704,78730,Multi-Family,4777300
201311,78725,Multi-Family,312700
201209,78726,Irrigation - Residential,23700
201704,78717,Irrigation - Residential,24600
201201,78727,Irrigation - Multi-Family,1874400
201508,78736,Irrigation - Multi-Family,995700
201407,78722,Multi-Family,2424000
201702,78736,Irrigation - Multi-Family,420000
201401,78758,Irrigation - Residential,10300
201807,78701,Irrigation - Residential,66600
201204,78736,Irrigation - Residential,13900
201602,78617,Residential,17111000
201410,78736,Irrigation - Multi-Family,230600
201306,78705,Irrigation - Residential,96400
201205,78744,Irrigation - Multi-Family,1091800
201606,78731,Irrigation - Residential,325500
201606,78617,Irrigation - Residential,6500
201701,78750,Residential,38717100
201401,78741,Multi-Family,88851400
201306,78738,Residential,8200
201302,78736,Irrigation - Multi-Family,340200
201605,78742,Residential,636000
201801,78660,Multi-Family,5189100
201603,78726,Residential,14053200
201411,78745,Irrigation - Residential,97300
201503,78652,Irrigation - Residential,83800
201608,78719,Residential,1932500
201707,78725,Residential,3827600
201411,78729,Irrigation - Multi-Family,3779000
201207,78737,Residential,14872700
201203,78737,Residential,4704600
201205,78745,Irrigation - Residential,70000
201211,78726,Multi-Family,11937300
201506,78617,Irrigation - Residential,9300
201806,78702,Multi-Family,12753200
201309,78744,Irrigation - Multi-Family,2134500
201701,78652,Irrigation - Residential,8000
201509,78724,Multi-Family,12396300
201203,78730,Irrigation - Residential,173600
201210,78759,Residential,83974300
201503,78748,Multi-Family,16992500
201308,78702,Residential,31289500
201803,78758,Irrigation - Multi-Family,1297000
201604,78613,Irrigation - Multi-Family,1261000
201512,78719,Residential,1229700
201510,78749,Irrigation - Multi-Family,9667900
201509,78717,Residential,61114300
201504,78702,Residential,23964500
201208,78751,Irrigation - Residential,157600
201611,78753,Irrigation - Residential,8900
201204,78738,Residential,7400
201411,78702,Irrigation - Multi-Family,824700
201601,78741,Irrigation - Residential,11300
201412,78728,Irrigation - Multi-Family,1110600
201404,78741,Irrigation - Multi-Family,957300
201211,78617,Irrigation - Residential,500
201407,78748,Irrigation - Residential,19800
201302,78731,Irrigation - Multi-Family,550900
201212,78730,Residential,17594800
201508,78724,Multi-Family,14253900
201509,78727,Irrigation - Multi-Family,10869400
201207,78722,Irrigation - Multi-Family,154500
201302,78746,Irrigation - Multi-Family,430700
201411,78744,Irrigation - Residential,25600
201212,78736,Multi-Family,2228500
201410,78758,Irrigation - Multi-Family,4298500
201307,78717,Irrigation - Residential,48600
201606,78660,Irrigation - Multi-Family,641200
201607,78724,Residential,23482900
201206,78742,Multi-Family,343500
201403,78727,Residential,29133100
201610,78748,Irrigation - Residential,32300
201807,78737,Irrigation - Residential,6600
201505,78723,Multi-Family,21194800
201406,78750,Multi-Family,12824000
201603,78653,Residential,1036400
201505,78756,Multi-Family,5000800
201502,78660,Multi-Family,3713100
201209,78754,Irrigation - Residential,0
201312,78726,Irrigation - Residential,2800
201508,78751,Multi-Family,13123300
201505,78754,Multi-Family,15966600
201707,78752,Multi-Family,19264200
201205,78757,Irrigation - Residential,77900
201412,78617,Irrigation - Residential,4900
201311,78702,Irrigation - Multi-Family,527200
201401,78724,Irrigation - Multi-Family,203700
201603,78721,Multi-Family,4371800
201304,78735,Multi-Family,9985200
201611,78660,Residential,8055700
201208,78748,Irrigation - Residential,22900
201201,78748,Irrigation - Multi-Family,2642400
201611,78717,Multi-Family,11426700
201208,78613,Irrigation - Multi-Family,80000
201308,78701,Multi-Family,14299400
201704,78752,Irrigation - Multi-Family,71800
201211,78736,Residential,14954200
201409,78745,Multi-Family,35605900
201301,78750,Irrigation - Residential,2000
201308,78741,Irrigation - Multi-Family,3014000
201208,78738,Residential,8300
201504,78617,Irrigation - Residential,6400
201202,78704,Residential,36101000
201503,78705,Irrigation - Multi-Family,291400
201402,78748,Irrigation - Residential,15200
201702,78727,Irrigation - Residential,10400
201401,78751,Multi-Family,11904000
201310,78741,Multi-Family,85636800
201710,78717,Irrigation - Residential,25900
201312,78744,Irrigation - Residential,1600
201605,78748,Irrigation - Residential,24900
201202,78754,Residential,15660700
201312,78742,Multi-Family,322700
201411,78652,Residential,765600
201603,78652,Irrigation - Residential,67800
201509,78748,Irrigation - Residential,87100
201201,78749,Irrigation - Residential,17300
201705,78730,Residential,27287800
201208,78721,Irrigation - Residential,9600
201410,78736,Multi-Family,1786500
201402,78717,Residential,19582300
201203,78726,Irrigation - Residential,1000
201210,78728,Multi-Family,7586100
201608,78723,Irrigation - Multi-Family,330300
201206,78752,Irrigation - Multi-Family,29800
201701,78652,Multi-Family,43600
201207,78719,Residential,2355500
201403,78756,Irrigation - Residential,49000
201803,78722,Multi-Family,2807000
201803,78653,Irrigation - Residential,12500
201504,78736,Multi-Family,1570800
201410,78717,Irrigation - Multi-Family,6606700
201606,78744,Residential,46786800
201408,78705,Irrigation - Residential,117200
201307,78739,Residential,70366200
201311,78729,Residential,20314000
201711,78721,Multi-Family,5039500
201408,78617,Irrigation - Residential,3100
201511,78728,Irrigation - Residential,2700
201501,78748,Irrigation - Residential,15900
201712,78752,Irrigation - Residential,300
201603,78704,Multi-Family,52560300
201404,78736,Residential,12301500
201512,78735,Irrigation - Multi-Family,1150800
201302,78747,Multi-Family,6529600
201509,78704,Multi-Family,55366300
201507,78736,Multi-Family,2165900
201310,78721,Irrigation - Residential,2400
201704,78744,Irrigation - Residential,46200
201601,78746,Irrigation - Residential,167500
201504,78723,Irrigation - Residential,2000
201211,78738,Residential,5400
201302,78751,Irrigation - Residential,27700
201606,78747,Irrigation - Multi-Family,279900
201809,78751,Multi-Family,13804900
201405,78705,Multi-Family,35189900
201410,78754,Residential,22071900
201605,78703,Irrigation - Residential,505000
201608,78725,Residential,3950300
201603,78723,Irrigation - Residential,6000
201704,78748,Irrigation - Residential,23200
201501,78753,Multi-Family,58062700
201308,78660,Irrigation - Residential,8500
201706,78736,Residential,13799200
201711,78735,Multi-Family,10271800
201608,78747,Multi-Family,7376200
201409,78727,Multi-Family,21856000
201502,78747,Irrigation - Multi-Family,262000
201206,78735,Irrigation - Multi-Family,2261000
201606,78701,Irrigation - Residential,22100
201401,78704,Irrigation - Residential,81700
201704,78653,Irrigation - Residential,30400
201509,78744,Residential,53580700
201302,78613,Irrigation - Multi-Family,42000
201412,78652,Residential,769700
201607,78736,Irrigation - Residential,16900
201604,78660,Residential,7200400
201509,78652,Irrigation - Residential,79200
201710,78704,Multi-Family,55548100
201408,78744,Irrigation - Multi-Family,1857200
201406,78712,Residential,0
201412,78759,Irrigation - Multi-Family,747100
201307,78728,Multi-Family,8499800
201804,78726,Irrigation - Multi-Family,3385500
201312,78741,Irrigation - Multi-Family,1467700
201406,78753,Irrigation - Residential,4000
201401,78741,Irrigation - Multi-Family,1664500
201203,78753,Irrigation - Residential,0
201412,78719,Multi-Family,432900
201403,78744,Irrigation - Residential,900
201409,78744,Multi-Family,28629700
201308,78717,Irrigation - Residential,38600
201308,78754,Multi-Family,19040000
201601,78724,Irrigation - Multi-Family,130300
201401,78705,Irrigation - Multi-Family,303800
201608,78753,Residential,48567700
201604,78703,Irrigation - Multi-Family,508100
201209,78721,Residential,16497600
201704,78660,Irrigation - Multi-Family,883900
201312,78725,Residential,1896400
201610,78758,Irrigation - Residential,45800
201306,78746,Irrigation - Multi-Family,1226200
201406,78660,Multi-Family,4112700
201703,78722,Residential,7018200
201204,78754,Irrigation - Residential,0
201212,78703,Irrigation - Residential,1522500
201601,78617,Residential,20372000
201706,78730,Irrigation - Multi-Family,1501600
201310,78723,Multi-Family,22323900
201807,78660,Residential,12056800
201405,78724,Irrigation - Multi-Family,336100
201302,78729,Multi-Family,21945700
201402,78747,Irrigation - Multi-Family,442000
201701,78660,Irrigation - Multi-Family,263500
201308,78745,Multi-Family,35923200
201804,78744,Multi-Family,28987900
201503,78745,Residential,61140900
201411,78703,Irrigation - Multi-Family,825800
201506,78719,Multi-Family,464100
201802,78723,Residential,27937400
201209,78744,Residential,61360300
201206,78737,Irrigation - Residential,5800
201610,78719,Multi-Family,392400
201206,78717,Multi-Family,7743600
201308,78724,Irrigation - Multi-Family,594900
201507,78652,Residential,1620100
201511,78752,Multi-Family,16649900
201607,78731,Irrigation - Residential,875800
201201,78717,Multi-Family,7693500
201704,78735,Irrigation - Multi-Family,2154700
201403,78736,Residential,9585300
201301,78738,Residential,9300
201311,78730,Multi-Family,4434700
201211,78759,Multi-Family,39858300
201603,78745,Irrigation - Residential,28800
201409,78741,Irrigation - Residential,58100
201702,78705,Irrigation - Residential,29000
201603,78735,Multi-Family,8840400
201507,78736,Irrigation - Residential,24300
201309,78754,Residential,28782400
201803,78754,Irrigation - Residential,20600
201605,78704,Irrigation - Residential,177800
201303,78617,Multi-Family,2758800
201312,78702,Irrigation - Residential,1100
201407,78745,Irrigation - Residential,102700
201307,78724,Irrigation - Multi-Family,468700
201501,78702,Irrigation - Residential,38200
201303,78757,Irrigation - Multi-Family,61400
201611,78748,Irrigation - Residential,28400
201208,78705,Irrigation - Residential,171200
201709,78749,Multi-Family,18414100
201606,78725,Multi-Family,193700
201311,78737,Irrigation - Residential,2900
201209,78701,Residential,1687900
201406,78703,Residential,54755100
201409,78735,Irrigation - Multi-Family,3182300
201404,78722,Multi-Family,2392600
201212,78703,Multi-Family,12488800
201609,78728,Irrigation - Multi-Family,1798400
201212,78660,Multi-Family,2920100
201211,78730,Irrigation - Residential,298400
201607,78728,Multi-Family,8415100
201508,78731,Irrigation - Residential,1124600
201203,78660,Irrigation - Residential,5900
201609,78728,Irrigation - Residential,5400
201304,78757,Irrigation - Residential,41200
201803,78731,Multi-Family,14083500
201808,78724,Irrigation - Multi-Family,1674100
201302,78728,Multi-Family,6661500
201603,78729,Residential,18891300
201401,78735,Multi-Family,9595000
201705,78758,Multi-Family,48331000
201303,78722,Multi-Family,2629100
201509,78756,Residential,18432700
201505,78717,Multi-Family,8987200
201603,78751,Irrigation - Residential,48400
201608,78741,Irrigation - Multi-Family,4124000
201511,78652,Multi-Family,18100
201212,78724,Residential,19576600
201507,78741,Irrigation - Multi-Family,2029200
201612,78751,Irrigation - Residential,45200
201212,78724,Multi-Family,12318200
201705,78724,Residential,19193400
